commit_hash,author,date,message,file_name,lines_added,lines_deleted,nloc
47dadcfe15160e5ffbb9cc107c50c232a17b463a,Jarek Lipski,2018-09-19 18:55:12+02:00,"fix @click.command example by adding parens

Otherwise the example fails with the following error: 
""name = name or cmd.name AttributeError: 'function' object has no attribute 'name'"". 

More details: https://stackoverflow.com/a/51923415/4619705",cli.rst,1,1,
363205bdc3abcfeed08c7e85e397fb7a7dc9ef07,Jarek Lipski,2018-09-19 18:55:12+02:00,"fix @click.command example by adding parens

Otherwise the example fails with the following error: 
""name = name or cmd.name AttributeError: 'function' object has no attribute 'name'"". 

More details: https://stackoverflow.com/a/51923415/4619705",cli.rst,1,1,
eae6440605b0e7e9a1f221ec0ac1b68b2f2dcd97,Tom Busby,2018-09-19 23:42:35+02:00,"Make script output into comments to not break syntax highlighting

http://flask.pocoo.org/docs/1.0/quickstart/#url-building

In the URL Building section of the quickstart, the script output is shown right after the code.

This breaks syntax highlighting for the whole code-block. To fix this, I have made the output into comments.",quickstart.rst,4,4,
357b710af245317dcfe3c653328717177fc67abc,garenchan,2018-09-21 13:05:06+08:00,"Fix docs errors
1.Grammar error: 'return' should be 'returns'; 'would is' should be
'would be'.
2.Reloader is used to reload and fork process if modules were changed
rather than when an exception occurred.
3.The sample code is not concise enough.",errorhandling.rst,4,9,
0b7a74dda3284b03fac49851eaf130e876f183bd,David Lord,2018-09-21 06:05:52-07:00,split code and output,quickstart.rst,10,5,
aa7e15dcbab208ca404bcecd94cbe6fc583150dc,garenchan,2018-09-19 10:39:56+08:00,"Reduce unnecessary function calls.
When propagate exceptions, the function call of ""_find_error_handler""
makes no sense.",app.py,1,2,773.0
d7eea1b49a5ea67dd9f39b9fa0a823466433f486,Grey Li,2018-09-30 08:21:17+08:00,Fix typo in issue template,ISSUE_TEMPLATE.md,1,1,
673772cac931fea88b6134e57643bba9f0b27d44,moyosore,2018-10-13 18:07:45+01:00,Fixed typo in app.py,app.py,1,1,773.0
9bc87d09c64780ccf1c115c216ff689a46d8f82e,garenchan,2018-10-23 22:10:20+08:00,Cache return values to avoid repeated function calls.,cli.py,3,2,558.0
c38499bbf26cfa9683e30c52139a94dc5a50dcc4,garenchan,2018-10-24 21:13:11+08:00,"ignore colon with slash when split app_import_path
Flask currently supports importing app through a combination of module
path and app variable name, such as '/usr/app.py:my_app'. When the
module path contains a colon, it will conflict with this import way and
a `flask.cli.NoAppException` will be raised.

A file path on a Windows system may contain a colon followed by a slash.
So we solved this problem on Windows by ignoring the colon followed by a
slash when we split app_import_path.

Fix issue #2961.",cli.py,1,1,557.0
c38499bbf26cfa9683e30c52139a94dc5a50dcc4,garenchan,2018-10-24 21:13:11+08:00,"ignore colon with slash when split app_import_path
Flask currently supports importing app through a combination of module
path and app variable name, such as '/usr/app.py:my_app'. When the
module path contains a colon, it will conflict with this import way and
a `flask.cli.NoAppException` will be raised.

A file path on a Windows system may contain a colon followed by a slash.
So we solved this problem on Windows by ignoring the colon followed by a
slash when we split app_import_path.

Fix issue #2961.",test_cli.py,16,3,383.0
eef6c34b57bf0367c1f9468bc4226ab59a1295a0,jangjunha,2018-10-25 23:23:48+09:00,Fix deferred callback doc,deferredcallbacks.rst,1,0,
f05625eb8239593daf755305e422b71d30c77054,Aditya,2018-10-27 17:58:45+05:30,Use https for external links wherever possible,ISSUE_TEMPLATE.md,1,1,
f05625eb8239593daf755305e422b71d30c77054,Aditya,2018-10-27 17:58:45+05:30,Use https for external links wherever possible,CONTRIBUTING.rst,2,2,
f05625eb8239593daf755305e422b71d30c77054,Aditya,2018-10-27 17:58:45+05:30,Use https for external links wherever possible,api.rst,1,1,
f05625eb8239593daf755305e422b71d30c77054,Aditya,2018-10-27 17:58:45+05:30,Use https for external links wherever possible,config.rst,1,1,
f05625eb8239593daf755305e422b71d30c77054,Aditya,2018-10-27 17:58:45+05:30,Use https for external links wherever possible,uwsgi.rst,1,1,
f05625eb8239593daf755305e422b71d30c77054,Aditya,2018-10-27 17:58:45+05:30,Use https for external links wherever possible,wsgi-standalone.rst,4,4,
f05625eb8239593daf755305e422b71d30c77054,Aditya,2018-10-27 17:58:45+05:30,Use https for external links wherever possible,htmlfaq.rst,1,1,
f05625eb8239593daf755305e422b71d30c77054,Aditya,2018-10-27 17:58:45+05:30,Use https for external links wherever possible,make.bat,1,1,
f05625eb8239593daf755305e422b71d30c77054,Aditya,2018-10-27 17:58:45+05:30,Use https for external links wherever possible,celery.rst,1,1,
f05625eb8239593daf755305e422b71d30c77054,Aditya,2018-10-27 17:58:45+05:30,Use https for external links wherever possible,fabric.rst,1,1,
f05625eb8239593daf755305e422b71d30c77054,Aditya,2018-10-27 17:58:45+05:30,Use https for external links wherever possible,jquery.rst,1,1,
f05625eb8239593daf755305e422b71d30c77054,Aditya,2018-10-27 17:58:45+05:30,Use https for external links wherever possible,mongokit.rst,1,1,
f05625eb8239593daf755305e422b71d30c77054,Aditya,2018-10-27 17:58:45+05:30,Use https for external links wherever possible,unicode.rst,1,1,
43e2d7518d2e89dc7ed0b4ac49b2d20211ad1bfa,Cyker Way,2018-10-29 20:53:39-04:00,Fix inconsistency in testing doc.,testing.rst,1,1,
e08bcf9f9700180a09f77f52604ea6de36fb83a8,Dave Chevell,2018-11-04 14:32:24+11:00,"Fix #2935: Copy current session object in copy_current_request_context (#2936)

Add session to RequestContext.copy()",CHANGES.rst,6,0,
e08bcf9f9700180a09f77f52604ea6de36fb83a8,Dave Chevell,2018-11-04 14:32:24+11:00,"Fix #2935: Copy current session object in copy_current_request_context (#2936)

Add session to RequestContext.copy()",ctx.py,12,6,174.0
e08bcf9f9700180a09f77f52604ea6de36fb83a8,Dave Chevell,2018-11-04 14:32:24+11:00,"Fix #2935: Copy current session object in copy_current_request_context (#2936)

Add session to RequestContext.copy()",test_reqctx.py,4,0,165.0
3bf80912cf959fe860528f75031fe9e4612e3848,Adam Walsh,2018-11-07 14:25:52-05:00,"Update sentry error handling documentation (#2990)

- Change examples to use the Sentry Python SDK: `sentry-sdk`
- Removed the app factory pattern example
- Added a custom exception handling example",errorhandling.rst,23,20,
339419117fff06fa89124d04b1921b61b8865d80,Markus Unterwaditzer,2018-11-07 21:04:10+01:00,Fixes for sentry docs (#2991),errorhandling.rst,9,13,
ed9775fb77bc2291473c176937326aadd435f73c,Jarek Piórkowski,2018-11-12 16:59:09-05:00,"Handle errors during create_url_adapter

If create_url_adapter raises (which it can if werkzeug cannot bind
environment, for example on non-ASCII Host header), we handle it as
other routing exceptions rather than raising through.

ref https://github.com/pallets/werkzeug/issues/640",ctx.py,7,2,179.0
ed9775fb77bc2291473c176937326aadd435f73c,Jarek Piórkowski,2018-11-12 16:59:09-05:00,"Handle errors during create_url_adapter

If create_url_adapter raises (which it can if werkzeug cannot bind
environment, for example on non-ASCII Host header), we handle it as
other routing exceptions rather than raising through.

ref https://github.com/pallets/werkzeug/issues/640",test_reqctx.py,23,0,179.0
9b0bd91195828e16887a31fec1ce2ad16999bb0d,Jarek Piórkowski,2018-11-13 13:09:16-05:00,"Correct tests

We've discovered that passing Unicode in Host actually works, except for
test client limitations on Python 2 - and the only things that don't
work are non-printable characters.",test_reqctx.py,35,4,193.0
a5709e785061b657b9541fac0f407d496e7107ca,Jarek Piórkowski,2018-11-13 13:40:50-05:00,Add changelog entry,CHANGES.rst,4,0,
aec0cdc0164454bb8e5bcc7a59b95370d6d8a1c0,Andrew Crouse,2018-11-12 13:20:07-07:00,Update documentation for users to use flask-caching instead of the deprecated Werkzeug cache,caching.rst,4,53,
2611632c69d46b03cb5321a43103c3fee8705aca,CasterWx,2018-12-08 12:45:20+08:00,add classifiers,setup.py,1,0,77.0
d8400d7cacf541b316930e609fce8b1c53f5a142,Oliver Bestwalter,2018-12-21 15:36:58+01:00,Fix typo in class name,errorhandling.rst,1,1,
5e07e3a6ada63e322597dd1ca25fecff25d0ae8d,Emlyn Price,2019-01-04 22:12:53+00:00,Add comment about using factory function in __init__.py,mod_wsgi.rst,5,0,
49efc4423398e4895cb22a772c4aa4269b4eaa78,David Lord,2019-01-05 12:49:59-08:00,clear KeyError in production for Werkzeug 0.15,app.py,11,10,774.0
49efc4423398e4895cb22a772c4aa4269b4eaa78,David Lord,2019-01-05 12:49:59-08:00,clear KeyError in production for Werkzeug 0.15,test_basic.py,1,1,1430.0
8b567fea2397ae4c8c593efa4da62cc9e7ea9746,David Lord,2019-01-05 14:59:25-08:00,fix docs build,conf.py,49,120,79.0
8b567fea2397ae4c8c593efa4da62cc9e7ea9746,David Lord,2019-01-05 14:59:25-08:00,fix docs build,index.rst,3,2,
8b567fea2397ae4c8c593efa4da62cc9e7ea9746,David Lord,2019-01-05 14:59:25-08:00,fix docs build,requirements.txt,3,0,
8b567fea2397ae4c8c593efa4da62cc9e7ea9746,David Lord,2019-01-05 14:59:25-08:00,fix docs build,tox.ini,1,10,
